match_id,map_id,map_name,team1_id,team1_name,team1_map_score,team2_id,team2_name,team2_map_score,map_winner_id,map_winner_name,round_difference
2396946,4,Dust2,9565,Vitality,13,13286,FUT,8,9565,Vitality,5
2396941,5,Nuke,9565,Vitality,16,12468,Legacy,14,9565,Vitality,2
2396941,4,Dust2,9565,Vitality,13,12468,Legacy,8,9565,Vitality,5
2396941,6,Mirage,9565,Vitality,9,12468,Legacy,13,12468,Legacy,4
2396935,4,Dust2,9565,Vitality,13,9996,9z,2,9565,Vitality,11
2396935,5,Nuke,9565,Vitality,13,9996,9z,6,9565,Vitality,7
2396927,1,Anubis,9565,Vitality,8,13117,Inner Circle,13,13117,Inner Circle,5
2396927,11,Cache,9565,Vitality,13,13117,Inner Circle,16,13117,Inner Circle,3
2396605,4,Dust2,9565,Vitality,13,6667,FaZe,11,9565,Vitality,2
2396605,11,Cache,9565,Vitality,13,6667,FaZe,6,9565,Vitality,7
2396596,7,Inferno,9565,Vitality,13,8840,Lynn Vision,5,9565,Vitality,8
2396596,4,Dust2,9565,Vitality,13,8840,Lynn Vision,2,9565,Vitality,11
2396583,4,Dust2,9565,Vitality,4,11241,B8,13,11241,B8,9
2396583,7,Inferno,9565,Vitality,11,11241,B8,13,11241,B8,2
2396583,6,Mirage,9565,Vitality,16,11241,B8,12,9565,Vitality,4
2396567,5,Nuke,9565,Vitality,13,8474,100 Thieves,4,9565,Vitality,9
2396004,1,Anubis,9565,Vitality,10,5973,Liquid,13,5973,Liquid,3
2396004,5,Nuke,9565,Vitality,9,5973,Liquid,13,5973,Liquid,4
2394989,2,Overpass,9565,Vitality,13,12394,BetBoom,8,9565,Vitality,5
2394989,5,Nuke,9565,Vitality,13,12394,BetBoom,11,9565,Vitality,2
2394978,6,Mirage,9565,Vitality,9,9996,9z,13,9996,9z,4
2394978,4,Dust2,9565,Vitality,11,9996,9z,13,9996,9z,2
2394978,7,Inferno,9565,Vitality,13,9996,9z,4,9565,Vitality,9
2394898,5,Nuke,9565,Vitality,13,13286,FUT,8,9565,Vitality,5
2394898,2,Overpass,9565,Vitality,13,13286,FUT,2,9565,Vitality,11
2394898,1,Anubis,9565,Vitality,5,13286,FUT,13,13286,FUT,8
2394174,4,Dust2,9565,Vitality,13,4608,Natus Vincere,11,9565,Vitality,2
2394174,7,Inferno,9565,Vitality,3,4608,Natus Vincere,13,4608,Natus Vincere,10
2394174,1,Anubis,9565,Vitality,11,4608,Natus Vincere,13,4608,Natus Vincere,2
2394166,4,Dust2,9565,Vitality,13,6667,FaZe,5,9565,Vitality,8
2394166,5,Nuke,9565,Vitality,16,6667,FaZe,14,9565,Vitality,2
2394170,6,Mirage,9565,Vitality,13,11241,B8,5,9565,Vitality,8
2394170,4,Dust2,9565,Vitality,13,11241,B8,8,9565,Vitality,5
2394157,2,Overpass,9565,Vitality,13,12394,BetBoom,8,9565,Vitality,5
2394157,5,Nuke,9565,Vitality,8,12394,BetBoom,13,12394,BetBoom,5
2394157,1,Anubis,9565,Vitality,10,12394,BetBoom,13,12394,BetBoom,3
2394108,6,Mirage,9565,Vitality,13,12878,BC.Game,7,9565,Vitality,6
2394108,4,Dust2,9565,Vitality,13,12878,BC.Game,10,9565,Vitality,3
2393350,5,Nuke,9565,Vitality,16,4608,Natus Vincere,12,9565,Vitality,4
2393350,4,Dust2,9565,Vitality,13,4608,Natus Vincere,3,9565,Vitality,10
2393350,1,Anubis,9565,Vitality,13,4608,Natus Vincere,11,9565,Vitality,2
2393349,6,Mirage,9565,Vitality,13,9928,GamerLegion,1,9565,Vitality,12
2393349,2,Overpass,9565,Vitality,16,9928,GamerLegion,14,9565,Vitality,2
